Dia;Hora;Temperatura;Humedad relativa;Presion atmosferica
20;3;23,73;48,7;758,04
25;12;21,19;43,45;759,75
2;17;13,86;46,1;755,61
18;15;15,27;39,12;762,03
22;6;21,27;35,22;763,49
19;4;23,4;42,37;756,24
20;9;8,73;33,62;758,63
12;20;21,39;45,71;762,18
11;2;6,43;47,25;761,85
21;5;0;45,22;760,99
13;5;7,52;38,6;755,55
22;4;8,94;32,21;755,36
16;10;5,53;44,5;758,6
6;2;21,06;45,88;761,05
3;16;29,14;45,64;756,27
11;17;3,57;36,4;759,95
12;8;4,58;46,33;763,02
30;6;11,73;37,15;757,02
25;11;7,18;42,9;757,18
7;11;12,81;39,78;764,59
23;17;26,15;34,12;764
14;10;8,32;44,37;761,6
25;1;12,98;35,52;759,12
17;11;8,82;36,6;764,14
7;0;24,1;30,35;755,05
19;18;9,65;34,51;764,15
23;8;7,21;39,83;760,51
14;21;5,89;44,42;758,19
24;18;13,07;42,08;758,12
9;16;4,43;44,99;764,59
13;0;19,34;34,97;757,67
14;12;4,54;36,02;762,53
3;8;9,12;40,88;764,07
6;5;27,93;42,6;762,57
4;2;25,3;40,37;756,48
27;20;10,7;35,2;759,83
14;0;15,8;47,23;760,07
14;4;24,67;39,2;762,5
3;23;21,14;37,34;756,96
18;8;23,73;33,49;760,96
30;15;27,44;34,16;755,29
16;8;1,54;41,41;759,87
19;22;22,41;47,09;755,02
13;16;7,46;49,99;755,67
16;18;10,69;45,28;758,51
18;10;29,55;39,66;764,1
6;23;7,6;41,65;755,78
25;15;2,19;46,17;762,65
21;16;16,9;45,21;758,35
22;1;18,02;37,4;760,55
16;11;26,64;45,62;758,52
5;0;9,69;32,81;764,9
7;9;8,9;30,75;760,9
23;16;11,13;30,54;756,75
17;21;21,63;38,24;764,46
13;11;16,88;33,63;756,3
7;23;9,83;36,93;758,58
13;17;1,01;44,61;760,54
8;3;29,04;37,67;756,1
10;5;1,59;41,81;757,67
30;1;9,63;37,51;761,7
9;15;1,11;34,87;756,19
27;8;28,97;47,01;761,62
5;8;4,32;38,97;755,9
28;3;26,95;30,73;758,7
11;4;21,03;33,22;764,22
9;10;18,4;43,07;761,2
25;9;18,62;39,12;756,04
4;17;2,46;48,63;756,1
7;4;11,9;49,6;760,61
19;9;25,76;49,24;760,36
16;12;14,69;47,79;761,63
21;18;3,27;44,42;757,01
25;6;25,96;31,87;761,56
7;2;8,45;46,33;764,35
15;13;27,26;43,45;758,77
21;22;3,65;45,82;755,33
3;7;0,54;46,18;756,82
14;18;1,13;33,33;755,76
28;14;6,61;45,89;757,51
6;14;27,61;42,33;757,19
2;18;0,25;31,2;761,3
29;4;7,41;40,39;762,3
4;7;7,51;46,8;758,42
22;8;23,5;34,52;758,94
19;15;22,04;46,94;764,54
6;16;21,11;43,49;759,7
20;20;1,28;48,14;761,97
11;23;8,94;42,18;763,81
5;11;20,24;46,57;764,66
30;2;10,62;43,95;762,11
8;11;14,68;43,41;758,37
17;7;10,95;33,59;758,39
15;4;11,76;48,97;757,98
14;3;23,07;37,78;756,99
16;21;27,21;33,31;760,37
6;1;25,55;48,08;758,59
13;9;28,16;46,22;757,36
1;20;5,32;44,09;757,95
17;22;27,54;44,36;756,85
10;1;17,89;33,42;758,71
24;1;5,37;31,98;759,65
8;2;3,55;30,52;755,43
5;23;5,61;35,17;756,27
25;10;15,51;32,37;761,59
30;20;13,87;31,19;758,52
17;17;21,83;41,71;758,72
22;14;19,08;42,81;759,88
23;19;9,06;34,93;763,75
26;16;24,73;46,53;760,01
30;4;14,07;44,67;758,1
14;19;0,11;35,53;756,6
6;11;25;34,16;761,93
4;15;4,78;48,04;764,14
2;23;26,46;42,64;756,06
25;0;5,27;44,65;757,2
28;19;18,19;42,19;759,29
24;20;5,43;39,47;760,85
26;13;14,47;33,95;763,19
24;23;15,96;38,79;760,99
1;22;26,46;40,3;764,85
9;14;8,59;43,47;755,88
29;14;24,66;43,98;763,99
29;21;11,71;45,69;757,05
17;16;21,02;45,55;762,55
3;18;5,75;49,72;764,14
9;11;13,12;38,14;755,14
9;0;3,41;37,87;755,97
29;0;22,23;43,19;763,83
10;17;13,42;39,68;764,91
16;19;28,46;49,57;758,13
20;5;4,41;49,04;758,88
13;1;23,22;41,17;755,97
1;21;21,37;38,18;762,03
11;16;18,48;49,94;756,08
30;13;16,72;36,95;756,01
8;19;12,36;30,28;755,92
16;20;8,75;38,32;764,67
27;18;12,04;48,59;759,77
19;6;10,4;42,45;755,84
13;6;19,46;44,01;764,64
23;20;4,27;44,25;761,77
1;4;28,5;30,91;760,07
11;9;8,94;41,99;759,58
13;14;21,58;33,9;755,65
30;8;22,82;38,47;763,79
29;22;21,9;47,06;756,65
9;13;11,41;37,31;763,7
7;22;20,33;30,5;758,91
14;15;9,86;30,86;761,04
4;6;27,82;46,41;761,25
4;11;20,12;42,94;762,07
21;6;3,33;43,27;757,62
9;18;22,6;45,09;755,15
3;14;28,93;43,92;759,1
19;14;10,76;31,31;762,18
